Embarked,Parch,SibSp,Sex,Pclass,Ticket,Cabin,Age,Fare
3,0,0,1,0,45,146,34.0,26.55
3,0,0,1,2,366,146,9999990.0,7.8958
3,6,1,0,2,566,146,43.0,46.9
3,0,1,0,0,99,58,9999990.0,52.0
3,0,1,1,0,93,87,38.0,90.0
3,0,0,1,2,256,146,9999990.0,7.775
3,0,0,1,2,308,146,30.0,9.5
3,0,0,1,2,304,146,22.0,9.0
2,0,1,0,2,444,146,9999990.0,15.5
3,0,0,0,1,108,146,45.0,13.5
0,0,1,0,0,600,146,9999990.0,82.1708
3,0,0,0,2,325,146,25.0,7.775
3,1,1,1,2,551,146,16.0,20.25
2,0,0,1,2,284,146,9999990.0,7.8292
3,0,0,0,1,140,146,28.0,12.65
0,0,1,1,1,132,146,32.5,30.0708
3,0,0,1,2,397,146,18.0,7.775
3,0,0,1,2,663,146,39.0,7.925
3,2,0,1,1,158,146,0.83,29.0
2,0,0,1,2,286,146,9999990.0,7.7333
3,0,0,1,1,101,146,27.0,13.0
0,1,0,1,0,595,146,51.0,61.3792
3,0,0,1,0,41,64,55.0,30.5
3,0,0,1,0,24,3,9999990.0,26.0
3,0,0,0,2,545,146,22.0,7.25
3,0,0,0,1,257,146,40.0,13.0
2,0,0,0,2,451,146,9999990.0,7.7375
3,0,0,1,2,318,146,45.0,6.975
0,0,2,1,2,190,146,9999990.0,21.6792
0,0,0,1,0,610,146,9999990.0,227.525
3,1,1,0,1,133,146,25.0,30.0
3,1,2,0,1,142,146,24.0,27.0
2,0,0,1,2,448,146,9999990.0,6.95
2,2,0,0,2,434,146,9999990.0,7.75
0,0,0,0,0,581,24,24.0,69.3
3,0,0,1,2,386,146,36.0,7.8958
3,0,0,1,1,226,146,54.0,26.0
3,5,0,0,2,249,146,41.0,39.6875
3,0,0,1,0,21,26,45.0,26.55
0,0,0,1,0,90,14,56.0,30.6958
3,2,4,0,2,333,146,6.0,31.275
2,0,1,1,2,462,146,9999990.0,15.5
3,0,0,1,2,345,146,51.0,7.0542
3,5,1,0,2,333,146,39.0,31.275
0,2,0,1,1,618,146,1.0,37.0042
3,0,0,0,2,336,146,18.0,7.775
3,1,0,1,2,494,146,42.0,8.4042
0,1,0,0,2,393,146,4.0,13.4167
2,0,0,0,2,464,146,22.0,7.75
3,0,0,1,2,431,146,35.0,8.05
2,0,0,1,2,275,146,9999990.0,8.4583
2,0,0,0,2,279,146,9999990.0,7.8792
0,0,0,1,2,379,146,29.0,7.8958
2,0,2,1,2,441,146,9999990.0,23.25
0,0,0,1,0,69,7,56.0,35.5
3,0,0,1,2,527,146,9999990.0,8.05
0,0,1,0,2,188,146,15.0,14.4542
0,0,0,1,0,598,146,40.0,27.7208
3,0,1,1,1,144,146,54.0,26.0
3,0,0,1,2,574,146,36.0,0.0
2,0,1,0,2,444,146,9999990.0,15.5
2,0,0,1,2,290,146,65.0,7.75
2,0,0,1,2,468,146,9999990.0,7.75
3,0,0,1,2,642,146,24.0,7.05
0,0,1,1,0,600,146,28.0,82.1708
2,0,0,0,2,461,146,9999990.0,7.75
3,2,6,1,2,568,146,9999990.0,69.55
3,0,0,1,0,2,52,47.0,52.0
3,0,0,1,0,455,110,61.0,32.3208
3,0,0,1,2,372,146,19.0,10.1708
3,1,1,1,1,113,141,2.0,26.0
3,2,1,0,1,561,146,5.0,27.75
3,0,0,0,1,220,146,36.0,13.0
2,0,0,1,2,460,146,70.5,7.75
3,1,1,1,1,558,146,8.0,36.75
3,0,0,1,2,262,146,42.0,8.6625
3,0,0,1,2,324,146,19.0,7.775
3,0,0,1,1,103,146,28.0,13.5
2,0,0,0,2,78,146,9999990.0,7.75
3,0,0,1,0,46,146,9999990.0,42.4
2,0,0,1,2,534,146,21.0,7.7333
3,0,1,1,0,91,67,36.0,78.85
3,0,0,1,2,394,146,33.0,7.8958
0,0,0,0,0,586,43,58.0,146.5208
3,0,0,0,2,670,146,27.0,7.925
3,1,0,0,2,316,145,2.0,10.4625
3,1,1,0,1,556,146,31.0,26.25
0,0,0,1,2,177,146,45.5,7.225
3,0,0,1,2,368,146,9999990.0,7.8958
0,1,1,0,0,83,75,39.0,110.8833
3,0,1,1,2,408,146,17.0,7.0542
3,0,0,1,2,347,140,25.0,7.65
3,2,4,0,2,248,146,17.0,7.925
3,0,0,1,2,269,146,27.0,8.6625
2,0,1,1,2,443,146,9999990.0,7.75
3,2,1,0,0,37,62,2.0,151.55
3,0,0,0,0,37,146,22.0,151.55
3,0,0,0,0,588,57,40.0,153.4625
0,0,0,1,0,9,146,35.0,26.55
0,0,0,1,2,217,146,9999990.0,7.2292
